Alpha,Average Profit
0.0,4052.6411611483795
0.05,4204.839780215088
0.1,4221.440423379302
0.15,4144.610767632426
0.2,4426.787812760667
0.25,4347.749269437904
0.3,4328.670867436617
0.35,4227.0507337893005
0.4,4203.505334081001
0.45,4106.574595666488
0.5,4151.29440989568
0.55,4443.349748915815
0.6,4146.510708339697
0.65,4225.874708268923
0.7,4476.340874651108
0.75,4322.003494499735
0.8,4264.863627826052
0.85,4328.495619618553
0.9,4276.829558000331
0.95,4222.511724339889
