Alpha,Average Profit
0.05,4001.539753496412
0.1,4030.0915928854574
0.15,4014.039484101575
0.2,4025.494375195707
0.25,4008.499445468312
0.3,4053.547815978063
0.35,4035.2580816493846
0.4,4041.7788493903317
0.45,4030.1320610956395
0.5,3991.0273824122596
0.55,4030.069169776368
0.6,4041.799759974529
0.65,4029.4743962363486
0.7,4064.1925319118905
0.75,4043.9368103208
0.8,4058.1788111939263
0.85,4051.4477556235615
0.9,4056.714809335399
0.95,4068.4230448077524
