nOrders,Profit,Time
100,1983.809102126204,0.05901360511779785
200,2381.1681472788614,0.12402820587158203
300,3240.8701474563377,0.20004510879516602
400,2374.7273382492417,0.27906274795532227
500,2673.6550968302186,0.34207725524902344
600,3073.3068579507585,0.450101375579834
700,3037.238604771381,0.48210883140563965
800,3705.1977687677772,0.6901555061340332
900,2918.8099070688954,0.694157600402832
1000,4175.52480902524,1.0142290592193604
1100,3634.3214167885276,0.9782214164733887
1200,4179.188867577318,1.0867905616760254
1300,3651.6547952491683,1.0707309246063232
1400,5301.513317061657,1.1779279708862305
1500,4828.345419015078,1.4473273754119873
1600,5168.201215912998,1.5903599262237549
1700,5586.008241141417,1.6617698669433594
1800,4027.617836714193,1.5993702411651611
1900,3523.5249006757185,1.5723559856414795
2000,2651.7076292686284,1.6083652973175049
2100,4865.873765390666,1.887427568435669
2200,3828.6298921279617,2.1301238536834717
2300,4290.684094436454,2.3283236026763916
2400,5089.866055201177,2.196662425994873
2500,4057.826767105654,2.4572653770446777
2600,3794.025042348712,2.425548553466797
2700,4334.715035944402,2.2064995765686035
2800,3400.971161791919,2.714613437652588
2900,3417.975220826122,3.0046803951263428
3000,4298.108295900753,2.830641031265259
3100,4575.450618065461,2.9936773777008057
3200,3498.607919848649,2.3318567276000977
3300,6177.2189879779635,3.366236686706543
3400,5278.490861509021,3.233063220977783
3500,3523.670339828793,3.193722724914551
3600,3341.9997773539226,3.6558258533477783
3700,3667.39278204354,3.4907913208007812
3800,3036.7221717895254,3.2477340698242188
3900,3051.2572015761602,3.535799741744995
4000,3281.9649446152716,3.667816400527954
4100,5129.96279888469,4.1303839683532715
4200,5973.886543577385,4.063673257827759
4300,6008.357299838222,4.649052381515503
4400,3665.8086456108863,4.2229554653167725
4500,5100.219306688956,4.998131275177002
4600,3283.905932314195,4.099530458450317
4700,3665.1156981789545,4.342550754547119
4800,3570.4166950753706,4.941049575805664
4900,3621.983452373743,4.774080514907837
5000,3137.216207954095,4.660054922103882
5100,3409.0966593368025,5.344879150390625
