nOrders,Profit,Time
100,1902.1552173471935,0.0009996891021728516
200,2322.687349531792,0.0009999275207519531
300,3757.508737498919,0.0020041465759277344
400,2590.376352756676,0.0025055408477783203
500,3477.6143034038896,0.0019986629486083984
600,4173.31703089224,0.003998756408691406
700,3443.822489133239,0.002998828887939453
800,5878.265477053865,0.006000041961669922
900,2921.480312537571,0.0019998550415039062
1000,3540.483685684916,0.004000425338745117
1100,5464.665320413879,0.009001493453979492
1200,6190.191014372582,0.009989261627197266
1300,4666.266878134723,0.009999513626098633
1400,7343.129209820325,0.012999296188354492
1500,6393.550810362554,0.013003349304199219
1600,6145.687236358533,0.014512300491333008
1700,7259.573701157387,0.017998933792114258
1800,3678.234338155225,0.010999441146850586
1900,6759.417763900588,0.012999534606933594
2000,4269.309196214702,0.006001710891723633
2100,7386.224554803968,0.021005630493164062
2200,6318.621187311961,0.016358613967895508
2300,6271.978152836015,0.017999887466430664
2400,6872.291520487203,0.027989625930786133
2500,6049.8546590118785,0.018998384475708008
2600,5058.536580152817,0.01950860023498535
2700,6161.780569937274,0.019999980926513672
2800,6333.845076406633,0.015026569366455078
2900,7510.438260079118,0.016976356506347656
3000,5735.346108417513,0.024002790451049805
3100,8315.479237349215,0.024999618530273438
3200,7060.135217017258,0.02101755142211914
3300,10262.681046711039,0.03498029708862305
3400,9839.660962213275,0.03250694274902344
3500,5327.858522230853,0.024999141693115234
3600,6006.801156557122,0.016000032424926758
3700,7151.927554977636,0.025517702102661133
3800,4227.579455988036,0.0149993896484375
3900,6031.5882891925485,0.021001338958740234
4000,6188.448396586646,0.023999452590942383
4100,8149.152765773105,0.039510250091552734
4200,9902.689504807266,0.03897452354431152
4300,9688.09194404568,0.04751014709472656
4400,4671.410023365359,0.02200007438659668
4500,9761.776640699509,0.04000282287597656
4600,3769.300212095063,0.016506671905517578
4700,6534.315356665346,0.027000904083251953
4800,4433.885435146744,0.023999452590942383
4900,7995.2642272051435,0.02950906753540039
5000,7186.615491102363,0.026999473571777344
5100,5758.8074103112685,0.026999473571777344
