Alpha,Average Profit
0.05,5131.447842193055
0.1,5114.2082855049075
0.15,5125.662255615522
0.2,5144.177878160703
0.25,5100.320007806655
0.3,5087.242353452525
0.35,5166.613640945082
0.4,5124.767929217086
0.45,5110.653332268046
0.5,5102.949097187233
0.55,5125.975514753874
0.6,5086.779118968876
0.65,5115.55459872148
0.7,5072.517291492308
0.75,5069.629024955379
0.8,5091.516366961833
0.85,5062.369321614208
0.9,5077.565953804009
0.95,5066.147533573983
a
