Alpha,Average Profit
0.0,4311.8226885209215
0.05,4374.388428484857
0.1,4466.430684420581
0.15,4363.890862424277
0.2,4495.571187139834
0.25,4546.330785982303
0.3,4384.578874114818
0.35,4508.753621969572
0.4,4456.019780739464
0.45,4372.702236663848
0.5,4389.627345998223
0.55,4368.742957567351
0.6,4405.656615500474
0.65,4171.209753847222
0.7,4386.283067349398
0.75,4399.489332577917
0.8,4226.470921108789
0.85,4301.928105350464
0.9,4185.780637521854
0.95,4050.7551244375463
