nOrders,Profit,Time
100,1983.809102126204,0.0
200,2381.1681472788614,0.0
300,3240.8701474563377,0.0
400,1923.2195947880741,0.0
500,2673.6550968302186,0.0
600,3073.3068579507585,0.0
700,2305.9297788288004,0.0009996891021728516
800,3705.1977687677772,0.0
900,1299.0881086055836,0.0
1000,1866.442793866236,0.0009989738464355469
1100,3634.3214167885276,0.0
1200,4179.188867577318,0.0
1300,3651.6547952491683,0.0
1400,5301.513317061657,0.0
1500,4828.345419015078,0.0009999275207519531
1600,5168.201215912998,0.0008919239044189453
1700,5586.008241141417,0.00099945068359375
1800,2358.5433412882326,0.0010004043579101562
1900,3523.5249006757185,0.0009996891021728516
2000,1508.9413514680875,0.0010030269622802734
2100,4865.873765390666,0.0010006427764892578
2200,3828.6298921279617,0.0010602474212646484
2300,4290.684094436454,0.0009222030639648438
2400,5089.866055201177,0.0
2500,4057.826767105654,0.0009999275207519531
2600,3794.025042348712,0.0009601116180419922
2700,4334.715035944402,0.0010006427764892578
2800,2484.021039296159,0.0010197162628173828
2900,3328.29907951944,0.0009999275207519531
3000,4298.108295900753,0.0019996166229248047
3100,4575.450618065461,0.0009984970092773438
3200,3498.607919848649,0.0009992122650146484
3300,6177.2189879779635,0.002002716064453125
3400,5278.490861509021,0.001001596450805664
3500,3523.670339828793,0.0009996891021728516
3600,2409.5187575707637,0.001016378402709961
3700,3667.39278204354,0.0009992122650146484
3800,1877.9648897642458,0.0020284652709960938
3900,2773.665127514269,0.001998424530029297
4000,3213.8101055912593,0.0010004043579101562
4100,5129.96279888469,0.0009999275207519531
4200,5973.886543577385,0.0020017623901367188
4300,6008.357299838222,0.0019996166229248047
4400,2792.352049005531,0.0020220279693603516
4500,5100.219306688956,0.0019974708557128906
4600,1826.5662032498929,0.0009987354278564453
4700,3518.543616855892,0.001998424530029297
4800,2821.3225752862772,0.002000093460083008
4900,3621.983452373743,0.003000020980834961
5000,3039.459425807703,0.0020041465759277344
5100,2825.382135621685,0.001984119415283203
