nOrders,Profit,Time
100,1983.809102126204,0.04083251953125
200,2955.558715590718,0.10523557662963867
300,3786.0878575320903,0.15139985084533691
400,3598.9897258874134,0.1910405158996582
500,3979.191102990587,0.24899983406066895
600,4238.589873636419,0.28388071060180664
700,4785.337145019048,0.39231061935424805
800,5569.374686140909,0.4365732669830322
900,4533.254767763025,0.372967004776001
1000,6127.290705893405,0.5762057304382324
1100,5206.256836188099,0.628140926361084
1200,5616.324992081449,0.6802730560302734
1300,4951.028478911998,0.7231323719024658
1400,6764.052699002085,0.7952377796173096
1500,6204.243484602271,0.8307235240936279
1600,6441.377063520136,1.0052344799041748
1700,7016.14696470527,1.0317485332489014
1800,6140.9984718402175,1.1999621391296387
1900,6689.884148022144,1.1698875427246094
2000,5538.27737777495,1.2334907054901123
2100,6071.060002563567,1.224806308746338
2200,5985.956618195172,1.6226563453674316
2300,7416.33270686881,1.5337119102478027
2400,7319.695850234447,1.7221980094909668
2500,6435.259941621754,1.901944875717163
2600,6883.883697109141,1.6593554019927979
2700,5711.253421377951,1.3428335189819336
2800,6515.539854042068,1.7692492008209229
2900,6678.426028504136,1.7433912754058838
3000,7403.212978462243,1.911712408065796
3100,7030.030681223845,1.8983237743377686
3200,6520.8218899472795,1.7811341285705566
3300,8388.15480066563,2.3175249099731445
3400,7707.660434522521,2.0240464210510254
3500,6501.293479358157,2.6385560035705566
3600,6928.580619013705,2.5160233974456787
3700,7873.977509103613,2.8758862018585205
3800,6332.954193520823,2.5321145057678223
3900,8090.443753056066,2.8525922298431396
4000,6772.393449547214,3.0115814208984375
4100,7917.892018058434,3.556074380874634
4200,9004.09464515448,2.9652035236358643
4300,7787.059836404582,3.19964599609375
4400,7463.878570888012,3.2829599380493164
4500,7933.729824112875,3.4162070751190186
4600,7030.203500069803,3.339529514312744
4700,8120.183283118625,3.0701887607574463
4800,6668.106029893912,3.1719207763671875
4900,7425.682021032175,3.597059965133667
5000,7564.088628463588,3.077840566635132
5100,7321.6400144975305,4.694232940673828
