nOrders,Profit,Time
100,1902.1552173471935,0.0009992122650146484
200,2322.687349531792,0.0009996891021728516
300,3181.605045423309,0.001999378204345703
400,2610.0884010180384,0.0009989738464355469
500,3410.34664046955,0.0019989013671875
600,3547.1209414974082,0.003999471664428711
700,3106.4039634994556,0.0019991397857666016
800,5357.527333583391,0.006002187728881836
900,3173.8172761920755,0.0029997825622558594
1000,3540.483685684916,0.0036067962646484375
1100,4155.684831681576,0.008094072341918945
1200,5519.642426459294,0.007995843887329102
1300,4794.1075887873085,0.009112834930419922
1400,6569.2009191248635,0.011904001235961914
1500,6204.243484602271,0.011973857879638672
1600,5903.828478050958,0.014016866683959961
1700,6504.483003571338,0.015985727310180664
1800,3712.67619157665,0.009503841400146484
1900,5337.856612294613,0.011998891830444336
2000,3425.8799855349275,0.005983829498291016
2100,5987.976518244132,0.018999814987182617
2200,5344.699243020789,0.015999794006347656
2300,6062.825640986594,0.017000436782836914
2400,6966.680861792232,0.023533105850219727
2500,5299.74245130686,0.01819586753845215
2600,4614.0978060618645,0.01799631118774414
2700,5562.576717083677,0.018068552017211914
2800,5138.513397216319,0.012217998504638672
2900,6349.686553449979,0.016604185104370117
3000,5202.483219794857,0.020999670028686523
3100,7012.88326065748,0.023006200790405273
3200,5173.951319473281,0.022089719772338867
3300,7799.763590436101,0.03155922889709473
3400,7385.657975156142,0.029903411865234375
3500,4766.66347928464,0.02190423011779785
3600,4996.5480908596855,0.014137983322143555
3700,4901.689316776596,0.02155017852783203
3800,3825.343505032158,0.014002084732055664
3900,5137.12204851209,0.020099639892578125
4000,4546.032331411699,0.02516651153564453
4100,7021.120715441418,0.038408756256103516
4200,8100.07150101149,0.041095733642578125
4300,7418.581579553945,0.043706417083740234
4400,4818.6239542157455,0.020995616912841797
4500,7432.097867267758,0.03811025619506836
4600,3719.077769134972,0.016106843948364258
4700,6201.398535990165,0.02706289291381836
4800,4618.167857924676,0.024006366729736328
4900,4590.617228399836,0.030511140823364258
5000,5997.444619977005,0.024999141693115234
5100,5449.753723326823,0.02399730682373047
