nOrders,Profit,Time
100,1983.809102126204,0.015097379684448242
200,2693.984546030703,0.02969074249267578
300,3543.981858515514,0.046762943267822266
400,3895.982671683183,0.06999778747558594
500,3754.8858425413696,0.0825490951538086
600,4209.232008320751,0.10818958282470703
700,4680.616340730918,0.12615251541137695
800,5459.974470987416,0.16407203674316406
900,4671.210791431299,0.19720983505249023
1000,6010.040383788998,0.22307753562927246
1100,5570.181892202472,0.24531149864196777
1200,5616.324992081449,0.2355797290802002
1300,4951.028478911998,0.2714262008666992
1400,6764.052699002085,0.2556171417236328
1500,6204.243484602271,0.30268192291259766
1600,6228.554359471156,0.3677859306335449
1700,6845.8308281718155,0.4112555980682373
1800,6092.477781384985,0.402193546295166
1900,6532.29623750584,0.4211287498474121
2000,5239.534949249192,0.3965179920196533
2100,6071.060002563567,0.4778904914855957
2200,6014.9548182358985,0.5602841377258301
2300,7283.846082206159,0.5838906764984131
2400,7423.751531064741,0.5178036689758301
2500,5806.100365359669,0.5760879516601562
2600,6536.8602933434995,0.6028931140899658
2700,5823.891508134202,0.6258418560028076
2800,6500.294774088549,0.6986997127532959
2900,7225.29201370849,0.7404487133026123
3000,6858.009730467247,0.7106513977050781
3100,7030.030681223845,0.7455930709838867
3200,6431.098059708011,0.7557964324951172
3300,7997.922250709774,0.8094871044158936
3400,7824.6731297509305,0.8234462738037109
3500,6681.919961112486,0.8788447380065918
3600,6945.127178315385,0.9798569679260254
3700,7414.26462465913,0.9429941177368164
3800,6951.8853910372045,0.8632152080535889
3900,7870.0216016969725,0.8412749767303467
4000,7301.229506631146,0.9230964183807373
4100,7951.452432846323,1.2037608623504639
4200,8742.34046658413,1.0086593627929688
4300,7747.867141764267,1.0239136219024658
4400,6855.363342327823,1.0023279190063477
4500,8499.7874971213,1.4375495910644531
4600,7435.58122318987,1.9689178466796875
4700,7651.8706764675935,1.961944341659546
4800,7277.836291108674,1.9551761150360107
4900,8160.343749124918,1.531506061553955
5000,7263.770077499381,1.2239983081817627
5100,7688.899225871919,1.144515037536621
