nOrders,Profit,Time
100,1902.1552173471935,0.014836788177490234
200,2322.687349531792,0.002045154571533203
300,3181.605045423309,0.0030014514923095703
400,2610.0884010180384,0.003000974655151367
500,3410.34664046955,0.006002187728881836
600,3547.1209414974082,0.01099848747253418
700,3106.4039634994556,0.0020859241485595703
800,5357.527333583391,0.015675067901611328
900,3173.8172761920755,0.021829843521118164
1000,3540.483685684916,0.009510278701782227
1100,4155.684831681576,0.015633583068847656
1200,5519.642426459294,0.01613163948059082
1300,4794.1075887873085,0.01564192771911621
1400,6569.2009191248635,0.03178143501281738
1500,6204.243484602271,0.04730939865112305
1600,5903.828478050958,0.050047874450683594
1700,6504.483003571338,0.052088260650634766
1800,3712.67619157665,0.03917884826660156
1900,5337.856612294613,0.03899979591369629
2000,3425.8799855349275,0.00774693489074707
2100,5987.976518244132,0.0679936408996582
2200,5344.699243020789,0.05198192596435547
2300,6062.825640986594,0.0989389419555664
2400,6966.680861792232,0.09441590309143066
2500,5299.74245130686,0.0587460994720459
2600,4614.0978060618645,0.06588411331176758
2700,5562.576717083677,0.06880640983581543
2800,5138.513397216319,0.04500985145568848
2900,6349.686553449979,0.05312061309814453
3000,5202.483219794857,0.09497523307800293
3100,7012.88326065748,0.06988096237182617
3200,5173.951319473281,0.06785964965820312
3300,7799.763590436101,0.11020016670227051
3400,7385.657975156142,0.11043310165405273
3500,4766.66347928464,0.07967400550842285
3600,4996.5480908596855,0.054056406021118164
3700,4901.689316776596,0.062430620193481445
3800,3825.343505032158,0.06208205223083496
3900,5137.12204851209,0.04732632637023926
4000,4546.032331411699,0.06280851364135742
4100,7021.120715441418,0.16922736167907715
4200,8100.07150101149,0.13091349601745605
4300,7418.581579553945,0.19220209121704102
4400,4818.6239542157455,0.0795888900756836
4500,7432.097867267758,0.1336355209350586
4600,3719.077769134972,0.048955678939819336
4700,6201.398535990165,0.10051417350769043
4800,4618.167857924676,0.06779718399047852
4900,4590.617228399836,0.10242366790771484
5000,5997.444619977005,0.08162760734558105
5100,5449.753723326823,0.08356738090515137
